地方公共団体コード,都道府県名,市町村名
43249,宮城県,川崎町
43419,宮城県,丸森町
43613,宮城県,亘理町
43621,宮城県,山元町
44016,宮城県,松島町
44041,宮城県,七ヶ浜町
44067,宮城県,利府町
44211,宮城県,大和町
44229,宮城県,大郷町
44237,宮城県,富谷町
44245,宮城県,大衡村
44440,宮城県,色麻町
44458,宮城県,加美町
45012,宮城県,涌谷町
45055,宮城県,美里町
45811,宮城県,女川町
46035,宮城県,本吉町
46060,宮城県,南三陸町
50008,秋田県,
52019,秋田県,秋田市
52027,秋田県,能代市
52035,秋田県,横手市
52043,秋田県,大館市
52060,秋田県,男鹿市
52078,秋田県,湯沢市
52094,秋田県,鹿角市
52108,秋田県,由利本荘市
52116,秋田県,潟上市
52124,秋田県,大仙市
52132,秋田県,北秋田市
52141,秋田県,にかほ市
52159,秋田県,仙北市
53031,秋田県,小坂町
53279,秋田県,上小阿仁村
53465,秋田県,藤里町
53481,秋田県,三種町
53490,秋田県,八峰町
53619,秋田県,五城目町
53635,秋田県,八郎潟町
53660,秋田県,井川町
53686,秋田県,大潟村
54348,秋田県,美郷町
54631,秋田県,羽後町
54640,秋田県,東成瀬村
60003,山形県,
62014,山形県,山形市
62022,山形県,米沢市
62031,山形県,鶴岡市
62049,山形県,酒田市
62057,山形県,新庄市
62065,山形県,寒河江市
62073,山形県,上山市
62081,山形県,村山市
62090,山形県,長井市
62103,山形県,天童市
62111,山形県,東根市
62120,山形県,尾花沢市
62138,山形県,南陽市
63011,山形県,山辺町
63029,山形県,中山町
63215,山形県,河北町
63223,山形県,西川町
63231,山形県,朝日町
63240,山形県,大江町
63410,山形県,大石田町
63614,山形県,金山町
63622,山形県,最上町
63631,山形県,舟形町
63649,山形県,真室川町
63657,山形県,大蔵村
63665,山形県,鮭川村
63673,山形県,戸沢村
63819,山形県,高畠町
63827,山形県,川西町
64017,山形県,小国町
64025,山形県,白鷹町
64033,山形県,飯豊町
64262,山形県,三川町
64289,山形県,庄内町
64611,山形県,遊佐町
70009,福島県,
72010,福島県,福島市
72028,福島県,会津若松市
72036,福島県,郡山市
72044,福島県,いわき市
72052,福島県,白河市
72079,福島県,須賀川市
72087,福島県,喜多方市
72095,福島県,相馬市
72109,福島県,二本松市
72117,福島県,田村市
72125,福島県,南相馬市
72133,福島県,伊達市
72141,福島県,本宮市
73016,福島県,桑折町
73032,福島県,国見町
73083,福島県,川俣町
73091,福島県,飯野町
73229,福島県,大玉村
73423,福島県,鏡石町
73440,福島県,天栄村
73628,福島県,下郷町
73644,福島県,檜枝岐村
73679,福島県,只見町
73687,福島県,南会津町
74021,福島県,北塩原村
74055,福島県,西会津町
74071,福島県,磐梯町
74080,福島県,猪苗代町
74217,福島県,会津坂下町
74225,福島県,湯川村
74233,福島県,柳津町
74446,福島県,三島町
74454,福島県,金山町
74462,福島県,昭和村
74471,福島県,会津美里町
74616,福島県,西郷村
74641,福島県,泉崎村
74659,福島県,中島村
74667,福島県,矢吹町
74811,福島県,棚倉町
74829,福島県,矢祭町
74837,福島県,塙町
74845,福島県,鮫川村
75019,福島県,石川町
75027,福島県,玉川村
75035,福島県,平田村
75043,福島県,浅川町
75051,福島県,古殿町
75213,福島県,三春町
75221,福島県,小野町
75418,福島県,広野町
75426,福島県,楢葉町
75434,福島県,富岡町
75442,福島県,川内村
75451,福島県,大熊町
75469,福島県,双葉町
75477,福島県,浪江町
75485,福島県,葛尾村
75612,福島県,新地町
75647,福島県,飯舘村
80004,茨城県,
82015,茨城県,水戸市
82023,茨城県,日立市
82031,茨城県,土浦市
82040,茨城県,古河市
82058,茨城県,石岡市
82074,茨城県,結城市
82082,茨城県,龍ヶ崎市
82104,茨城県,下妻市
82112,茨城県,常総市
82121,茨城県,常陸太田市
82147,茨城県,高萩市
82155,茨城県,北茨城市
82163,茨城県,笠間市
82171,茨城県,取手市
82198,茨城県,牛久市
82201,茨城県,つくば市
82210,茨城県,ひたちなか市
82228,茨城県,鹿嶋市
82236,茨城県,潮来市
82244,茨城県,守谷市
82252,茨城県,常陸大宮市
82261,茨城県,那珂市
82279,茨城県,筑西市
82287,茨城県,坂東市
82295,茨城県,稲敷市
82309,茨城県,かすみがうら市
82317,茨城県,桜川市
82325,茨城県,神栖市
82333,茨城県,行方市
82341,茨城県,鉾田市
82350,茨城県,つくばみらい市
82368,茨城県,小美玉市
83020,茨城県,茨城町
83097,茨城県,大洗町
83101,茨城県,城里町
83411,茨城県,東海村
83640,茨城県,大子町
84425,茨城県,美浦村
84433,茨城県,阿見町
84476,茨城県,河内町
85219,茨城県,八千代町
85421,茨城県,五霞町
85464,茨城県,境町
85642,茨城県,利根町
90000,栃木県,
92011,栃木県,宇都宮市
92029,栃木県,足利市
92037,栃木県,栃木市
92045,栃木県,佐野市
92053,栃木県,鹿沼市
92061,栃木県,日光市
92088,栃木県,小山市
92096,栃木県,真岡市
92100,栃木県,大田原市
92118,栃木県,矢板市
92134,栃木県,那須塩原市
92142,栃木県,さくら市
92151,栃木県,那須烏山市
92169,栃木県,下野市
93017,栃木県,上三川町
93211,栃木県,西方町
93416,栃木県,二宮町
93424,栃木県,益子町
93432,栃木県,茂木町
93441,栃木県,市貝町
93459,栃木県,芳賀町
93611,栃木県,壬生町
93645,栃木県,野木町
93653,栃木県,大平町
93661,栃木県,藤岡町
93670,栃木県,岩舟町
93688,栃木県,都賀町
93840,栃木県,塩谷町
93866,栃木県,高根沢町
94072,栃木県,那須町
94111,栃木県,那珂川町
100005,群馬県,
102016,群馬県,前橋市
102024,群馬県,高崎市
102032,群馬県,桐生市
102041,群馬県,伊勢崎市
102059,群馬県,太田市
102067,群馬県,沼田市
102075,群馬県,館林市
102083,群馬県,渋川市
102091,群馬県,藤岡市
102105,群馬県,富岡市
102113,群馬県,安中市
102121,群馬県,みどり市
103039,群馬県,富士見村
103446,群馬県,榛東村
103454,群馬県,吉岡町
103632,群馬県,吉井町
103667,群馬県,上野村
103675,群馬県,神流町
103829,群馬県,下仁田町
103837,群馬県,南牧村
103845,群馬県,甘楽町
104213,群馬県,中之条町
104248,群馬県,長野原町
104256,群馬県,嬬恋村
104264,群馬県,草津町
104272,群馬県,六合村
104281,群馬県,高山村
104299,群馬県,東吾妻町
104434,群馬県,片品村
104442,群馬県,川場村
104485,群馬県,昭和村
104493,群馬県,みなかみ町
104647,群馬県,玉村町
105210,群馬県,板倉町
105228,群馬県,明和町
105236,群馬県,千代田町
105244,群馬県,大泉町
105252,群馬県,邑楽町
110001,埼玉県,
111007,埼玉県,さいたま市
112011,埼玉県,川越市
112020,埼玉県,熊谷市
112038,埼玉県,川口市
112062,埼玉県,行田市
112071,埼玉県,秩父市
112089,埼玉県,所沢市
112097,埼玉県,飯能市
112101,埼玉県,加須市
112119,埼玉県,本庄市
112127,埼玉県,東松山市
112143,埼玉県,春日部市
112151,埼玉県,狭山市
112160,埼玉県,羽生市
112178,埼玉県,鴻巣市
112186,埼玉県,深谷市
112194,埼玉県,上尾市
112216,埼玉県,草加市
112224,埼玉県,越谷市
112232,埼玉県,蕨市
112241,埼玉県,戸田市
112259,埼玉県,入間市
112267,埼玉県,鳩ヶ谷市
112275,埼玉県,朝霞市
112283,埼玉県,志木市
112291,埼玉県,和光市
112305,埼玉県,新座市
112313,埼玉県,桶川市
112321,埼玉県,久喜市
112330,埼玉県,北本市
112348,埼玉県,八潮市
112356,埼玉県,富士見市
112372,埼玉県,三郷市
112381,埼玉県,蓮田市
112399,埼玉県,坂戸市
112402,埼玉県,幸手市
112411,埼玉県,鶴ヶ島市
112429,埼玉県,日高市
112437,埼玉県,吉川市
112453,埼玉県,ふじみ野市
113018,埼玉県,伊奈町
113247,埼玉県,三芳町
113263,埼玉県,毛呂山町
113271,埼玉県,越生町
113417,埼玉県,滑川町
113425,埼玉県,嵐山町
113433,埼玉県,小川町
113468,埼玉県,川島町
113476,埼玉県,吉見町
113484,埼玉県,鳩山町
113492,埼玉県,ときがわ町
113611,埼玉県,横瀬町
113620,埼玉県,皆野町
113638,埼玉県,長瀞町
113654,埼玉県,小鹿野町
113697,埼玉県,東秩父村
113816,埼玉県,美里町
113832,埼玉県,神川町
113859,埼玉県,上里町
114081,埼玉県,寄居町
114219,埼玉県,騎西町
114243,埼玉県,北川辺町
114251,埼玉県,大利根町
114421,埼玉県,宮代町
114456,埼玉県,白岡町
114464,埼玉県,菖蒲町
114618,埼玉県,栗橋町
114626,埼玉県,鷲宮町
114642,埼玉県,杉戸町
114651,埼玉県,松伏町
120006,千葉県,
121002,千葉県,千葉市
122025,千葉県,銚子市
122033,千葉県,市川市
122041,千葉県,船橋市
122050,千葉県,館山市
122068,千葉県,木更津市
122076,千葉県,松戸市
122084,千葉県,野田市
122106,千葉県,茂原市
122114,千葉県,成田市
122122,千葉県,佐倉市
122131,千葉県,東金市
122157,千葉県,旭市
122165,千葉県,習志野市
122173,千葉県,柏市
122181,千葉県,勝浦市
122190,千葉県,市原市
122203,千葉県,流山市
122211,千葉県,八千代市
122220,千葉県,我孫子市
122238,千葉県,鴨川市
122246,千葉県,鎌ヶ谷市
122254,千葉県,君津市
122262,千葉県,富津市
122271,千葉県,浦安市
122289,千葉県,四街道市
122297,千葉県,袖ヶ浦市
122301,千葉県,八街市
122319,千葉県,印西市
122327,千葉県,白井市
122335,千葉県,富里市
122343,千葉県,南房総市
122351,千葉県,匝瑳市
122360,千葉県,香取市
122378,千葉県,山武市
122386,千葉県,いすみ市
123226,千葉県,酒々井町
123251,千葉県,印旛村
123285,千葉県,本埜村
123293,千葉県,栄町
123421,千葉県,神崎町
123471,千葉県,多古町
123498,千葉県,東庄町
124028,千葉県,大網白里町
124036,千葉県,九十九里町
124095,千葉県,芝山町
124109,千葉県,横芝光町
124214,千葉県,一宮町
124222,千葉県,睦沢町
124231,千葉県,長生村
124249,千葉県,白子町
124265,千葉県,長柄町
124273,千葉県,長南町
124419,千葉県,大多喜町
124435,千葉県,御宿町
124630,千葉県,鋸南町
130001,東京都,
131016,東京都,千代田区
131024,東京都,中央区
131032,東京都,港区
131041,東京都,新宿区
131059,東京都,文京区
131067,東京都,台東区
131075,東京都,墨田区
131083,東京都,江東区
131091,東京都,品川区
131105,東京都,目黒区
131113,東京都,大田区
131121,東京都,世田谷区
131130,東京都,渋谷区
131148,東京都,中野区
131156,東京都,杉並区
131164,東京都,豊島区
131172,東京都,北区
131181,東京都,荒川区
131199,東京都,板橋区
131202,東京都,練馬区
131211,東京都,足立区
131229,東京都,葛飾区
131237,東京都,江戸川区
132012,東京都,八王子市
132021,東京都,立川市
132039,東京都,武蔵野市
132047,東京都,三鷹市
132055,東京都,青梅市
132063,東京都,府中市
132071,東京都,昭島市
132080,東京都,調布市
132098,東京都,町田市
132101,東京都,小金井市
132110,東京都,小平市
132128,東京都,日野市
132136,東京都,東村山市
132144,東京都,国分寺市
132152,東京都,国立市
132187,東京都,福生市
132195,東京都,狛江市
132209,東京都,東大和市
132217,東京都,清瀬市
132225,東京都,東久留米市
132233,東京都,武蔵村山市
132241,東京都,多摩市
132250,東京都,稲城市
132276,東京都,羽村市
132284,東京都,あきる野市
132292,東京都,西東京市
133035,東京都,瑞穂町
133051,東京都,日の出町
133078,東京都,檜原村
133086,東京都,奥多摩町
133612,東京都,大島町
133621,東京都,利島村
133639,東京都,新島村
133647,東京都,神津島村
133817,東京都,三宅村
133825,東京都,御蔵島村
134015,東京都,八丈町
134023,東京都,青ヶ島村
134210,東京都,小笠原村
140007,神奈川県,
141003,神奈川県,横浜市
141305,神奈川県,川崎市
142018,神奈川県,横須賀市
142034,神奈川県,平塚市
142042,神奈川県,鎌倉市
142051,神奈川県,藤沢市
142069,神奈川県,小田原市
142077,神奈川県,茅ヶ崎市
142085,神奈川県,逗子市
142093,神奈川県,相模原市
142107,神奈川県,三浦市
142115,神奈川県,秦野市
142123,神奈川県,厚木市
142131,神奈川県,大和市
142140,神奈川県,伊勢原市
142158,神奈川県,海老名市
142166,神奈川県,座間市
142174,神奈川県,南足柄市
142182,神奈川県,綾瀬市
143014,神奈川県,葉山町
143219,神奈川県,寒川町
143413,神奈川県,大磯町
143421,神奈川県,二宮町
143618,神奈川県,中井町
143626,神奈川県,大井町
143634,神奈川県,松田町
143642,神奈川県,山北町
143669,神奈川県,開成町
143821,神奈川県,箱根町
143839,神奈川県,真鶴町
143847,神奈川県,湯河原町
144011,神奈川県,愛川町
144029,神奈川県,清川村
150002,新潟県,
151009,新潟県,新潟市
152021,新潟県,長岡市
152048,新潟県,三条市
152056,新潟県,柏崎市
152064,新潟県,新発田市
152081,新潟県,小千谷市
152099,新潟県,加茂市
152102,新潟県,十日町市
152111,新潟県,見附市
152129,新潟県,村上市
152137,新潟県,燕市
152161,新潟県,糸魚川市
152170,新潟県,妙高市
152188,新潟県,五泉市
152226,新潟県,上越市
152234,新潟県,阿賀野市
152242,新潟県,佐渡市
152251,新潟県,魚沼市
152269,新潟県,南魚沼市
152277,新潟県,胎内市
153079,新潟県,聖籠町
153427,新潟県,弥彦村
153613,新潟県,田上町
153851,新潟県,阿賀町
154059,新潟県,出雲崎町
154415,新潟県,川口町
154610,新潟県,湯沢町
154822,新潟県,津南町
155047,新潟県,刈羽村
155811,新潟県,関川村
155861,新潟県,粟島浦村
160008,富山県,
162019,富山県,富山市
162027,富山県,高岡市
162043,富山県,魚津市
162051,富山県,氷見市
162060,富山県,滑川市
162078,富山県,黒部市
162086,富山県,砺波市
162094,富山県,小矢部市
162108,富山県,南砺市
162116,富山県,射水市
163210,富山県,舟橋村
163228,富山県,上市町
163236,富山県,立山町
163422,富山県,入善町
163431,富山県,朝日町
170003,石川県,
172014,石川県,金沢市
172022,石川県,七尾市
172031,石川県,小松市
172049,石川県,輪島市
172057,石川県,珠洲市
172065,石川県,加賀市
172073,石川県,羽咋市
172090,石川県,かほく市
172103,石川県,白山市
172111,石川県,能美市
173240,石川県,川北町
173444,石川県,野々市町
173614,石川県,津幡町
173657,石川県,内灘町
173843,石川県,志賀町
173860,石川県,宝達志水町
174076,石川県,中能登町
174611,石川県,穴水町
174637,石川県,能登町
180009,福井県,
182010,福井県,福井市
182028,福井県,敦賀市
182044,福井県,小浜市
182052,福井県,大野市
182061,福井県,勝山市
182079,福井県,鯖江市
182087,福井県,あわら市
182095,福井県,越前市
182109,福井県,坂井市
183229,福井県,永平寺町
183822,福井県,池田町
184047,福井県,南越前町
184233,福井県,越前町
184420,福井県,美浜町
184811,福井県,高浜町
184837,福井県,おおい町
185019,福井県,若狭町
190004,山梨県,
192015,山梨県,甲府市
192023,山梨県,富士吉田市
192040,山梨県,都留市
192058,山梨県,山梨市
192066,山梨県,大月市
192074,山梨県,韮崎市
192082,山梨県,南アルプス市
192091,山梨県,北杜市
192104,山梨県,甲斐市
192112,山梨県,笛吹市
192121,山梨県,上野原市
192139,山梨県,甲州市
192147,山梨県,中央市
193461,山梨県,市川三郷町
193615,山梨県,増穂町
193623,山梨県,鰍沢町
193640,山梨県,早川町
193658,山梨県,身延町
193666,山梨県,南部町
193844,山梨県,昭和町
194221,山梨県,道志村
194239,山梨県,西桂町
194247,山梨県,忍野村
194255,山梨県,山中湖村
194298,山梨県,鳴沢村
194301,山梨県,富士河口湖町
194425,山梨県,小菅村
194433,山梨県,丹波山村
200000,長野県,
202011,長野県,長野市
202029,長野県,松本市
202037,長野県,上田市
202045,長野県,岡谷市
202053,長野県,飯田市
202061,長野県,諏訪市
202070,長野県,須坂市
202088,長野県,小諸市
202096,長野県,伊那市
202100,長野県,駒ヶ根市
202118,長野県,中野市
202126,長野県,大町市
202134,長野県,飯山市
202142,長野県,茅野市
202151,長野県,塩尻市
202177,長野県,佐久市
202185,長野県,千曲市
202193,長野県,東御市
202207,長野県,安曇野市
203033,長野県,小海町
203041,長野県,川上村
203050,長野県,南牧村
203068,長野県,南相木村
203076,長野県,北相木村
203092,長野県,佐久穂町
203211,長野県,軽井沢町
203238,長野県,御代田町
203246,長野県,立科町
203491,長野県,青木村
203505,長野県,長和町
203611,長野県,下諏訪町
203629,長野県,富士見町
203637,長野県,原村
203823,長野県,辰野町
203831,長野県,箕輪町
203840,長野県,飯島町
203858,長野県,南箕輪村
203866,長野県,中川村
203882,長野県,宮田村
204021,長野県,松川町
204030,長野県,高森町
204048,長野県,阿南町
204064,長野県,清内路村
204072,長野県,阿智村
204099,長野県,平谷村
204102,長野県,根羽村
204111,長野県,下條村
204129,長野県,売木村
204137,長野県,天龍村
204145,長野県,泰阜村
204153,長野県,喬木村
204161,長野県,豊丘村
204170,長野県,大鹿村
204226,長野県,上松町
204234,長野県,南木曽町
204251,長野県,木祖村
204293,長野県,王滝村
204307,長野県,大桑村
204323,長野県,木曽町
204463,長野県,麻績村
204480,長野県,生坂村
204498,長野県,波田町
204501,長野県,山形村
204510,長野県,朝日村
204528,長野県,筑北村
204811,長野県,池田町
204820,長野県,松川村
204854,長野県,白馬村
204862,長野県,小谷村
205214,長野県,坂城町
205419,長野県,小布施町
205435,長野県,高山村
205613,長野県,山ノ内町
205621,長野県,木島平村
205630,長野県,野沢温泉村
205818,長野県,信州新町
205834,長野県,信濃町
205885,長野県,小川村
205893,長野県,中条村
205907,長野県,飯綱町
206024,長野県,栄村
210005,岐阜県,
212016,岐阜県,岐阜市
212024,岐阜県,大垣市
212032,岐阜県,高山市
212041,岐阜県,多治見市
212059,岐阜県,関市
212067,岐阜県,中津川市
212075,岐阜県,美濃市
212083,岐阜県,瑞浪市
212091,岐阜県,羽島市
212105,岐阜県,恵那市
212113,岐阜県,美濃加茂市
212121,岐阜県,土岐市
212130,岐阜県,各務原市
212148,岐阜県,可児市
212156,岐阜県,山県市
212164,岐阜県,瑞穂市
212172,岐阜県,飛騨市
212181,岐阜県,本巣市
212199,岐阜県,郡上市
212202,岐阜県,下呂市
212211,岐阜県,海津市
213021,岐阜県,岐南町
213039,岐阜県,笠松町
213411,岐阜県,養老町
213616,岐阜県,垂井町
213624,岐阜県,関ヶ原町
213811,岐阜県,神戸町
213829,岐阜県,輪之内町
213837,岐阜県,安八町
214019,岐阜県,揖斐川町
214035,岐阜県,大野町
214043,岐阜県,池田町
214213,岐阜県,北方町
215015,岐阜県,坂祝町
215023,岐阜県,富加町
215031,岐阜県,川辺町
215040,岐阜県,七宗町
215058,岐阜県,八百津町
215066,岐阜県,白川町
215074,岐阜県,東白川村
215210,岐阜県,御嵩町
216046,岐阜県,白川村
220001,静岡県,
221007,静岡県,静岡市
221309,静岡県,浜松市
222038,静岡県,沼津市
222054,静岡県,熱海市
222062,静岡県,三島市
222071,静岡県,富士宮市
222089,静岡県,伊東市
222097,静岡県,島田市
222101,静岡県,富士市
222119,静岡県,磐田市
222127,静岡県,焼津市
222135,静岡県,掛川市
222143,静岡県,藤枝市
222151,静岡県,御殿場市
222160,静岡県,袋井市
222194,静岡県,下田市
222208,静岡県,裾野市
222216,静岡県,湖西市
222224,静岡県,伊豆市
222232,静岡県,御前崎市
222241,静岡県,菊川市
222259,静岡県,伊豆の国市
222267,静岡県,牧之原市
223018,静岡県,東伊豆町
223026,静岡県,河津町
223042,静岡県,南伊豆町
223051,静岡県,松崎町
223069,静岡県,西伊豆町
223255,静岡県,函南町
223417,静岡県,清水町
223425,静岡県,長泉町
223441,静岡県,小山町
223611,静岡県,芝川町
223816,静岡県,富士川町
223832,静岡県,由比町
224014,静岡県,岡部町
224022,静岡県,大井川町
224243,静岡県,吉田町
224294,静岡県,川根本町
224618,静岡県,森町
225037,静岡県,新居町
230006,愛知県,
231002,愛知県,名古屋市
232017,愛知県,豊橋市
232025,愛知県,岡崎市
232033,愛知県,一宮市
232041,愛知県,瀬戸市
232050,愛知県,半田市
232068,愛知県,春日井市
232076,愛知県,豊川市
232084,愛知県,津島市
232092,愛知県,碧南市
232106,愛知県,刈谷市
232114,愛知県,豊田市
232122,愛知県,安城市
232131,愛知県,西尾市
232149,愛知県,蒲郡市
232157,愛知県,犬山市
232165,愛知県,常滑市
232173,愛知県,江南市
232190,愛知県,小牧市
232203,愛知県,稲沢市
232211,愛知県,新城市
232220,愛知県,東海市
232238,愛知県,大府市
232246,愛知県,知多市
232254,愛知県,知立市
232262,愛知県,尾張旭市
232271,愛知県,高浜市
232289,愛知県,岩倉市
232297,愛知県,豊明市
232301,愛知県,日進市
232319,愛知県,田原市
232327,愛知県,愛西市
232335,愛知県,清須市
232343,愛知県,北名古屋市
232351,愛知県,弥富市
233021,愛知県,東郷町
233048,愛知県,長久手町
233421,愛知県,豊山町
233455,愛知県,春日町
233617,愛知県,大口町
233625,愛知県,扶桑町
234214,愛知県,七宝町
234222,愛知県,美和町
234231,愛知県,甚目寺町
234249,愛知県,大治町
234257,愛知県,蟹江町
234273,愛知県,飛島村
234419,愛知県,阿久比町
234427,愛知県,東浦町
234451,愛知県,南知多町
234460,愛知県,美浜町
234478,愛知県,武豊町
234818,愛知県,一色町
234826,愛知県,吉良町
234834,愛知県,幡豆町
235016,愛知県,幸田町
